archive,publication_title,publication_id,search_date,page,href,search_terms
newspaperarchive,Freeport Daily Bulletin,us/illinois/freeport/freeport-daily-bulletin,1880-01-08,,http://access.newspaperarchive.com/us/illinois/freeport/freeport-daily-bulletin/1880/01-08?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=8&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Burlington Daily Hawk Eye,us/iowa/burlington/burlington-daily-hawk-eye-burlington-iowa,1880-01-08,,http://access.newspaperarchive.com/us/iowa/burlington/burlington-daily-hawk-eye-burlington-iowa/1880/01-08?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=8&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Salt Lake Daily Tribune,us/utah/salt-lake-city/salt-lake-daily-tribune,1880-01-08,,http://access.newspaperarchive.com/us/utah/salt-lake-city/salt-lake-daily-tribune/1880/01-08?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=8&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Logansport Pharos,us/indiana/logansport/logansport-pharos,1880-01-08,8,http://access.newspaperarchive.com/us/indiana/logansport/logansport-pharos/1880/01-08/page-8?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=8&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Greencastle County Banner,us/indiana/greencastle/greencastle-county-banner,1880-01-08,6,http://access.newspaperarchive.com/us/indiana/greencastle/greencastle-county-banner/1880/01-08/page-6?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=8&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-01-08,2,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/01-08/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=8&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Steubenville Weekly Herald,us/ohio/steubenville/steubenville-weekly-herald,1880-01-09,,http://access.newspaperarchive.com/us/ohio/steubenville/steubenville-weekly-herald/1880/01-09?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=9&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-01-09,2,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/01-09/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=9&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Alden Times,us/iowa/alden/alden-times,1880-01-09,9,http://access.newspaperarchive.com/us/iowa/alden/alden-times/1880/01-09/page-9?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=9&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,New Brunswick Daily Times,us/new-jersey/new-brunswick/new-brunswick-daily-times,1880-01-13,2,http://access.newspaperarchive.com/us/new-jersey/new-brunswick/new-brunswick-daily-times/1880/01-13/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=13&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Cumberland Times,us/maryland/cumberland/cumberland-times,1880-01-13,2,http://access.newspaperarchive.com/us/maryland/cumberland/cumberland-times/1880/01-13/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=13&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Algona Republican,us/iowa/algona/algona-republican,1880-01-14,2,http://access.newspaperarchive.com/us/iowa/algona/algona-republican/1880/01-14/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=14&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Eldora Herald,us/iowa/eldora/eldora-herald,1880-01-14,6,http://access.newspaperarchive.com/us/iowa/eldora/eldora-herald/1880/01-14/page-6?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=14&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Sullivan Union,us/indiana/sullivan/sullivan-union,1880-01-14,3,http://access.newspaperarchive.com/us/indiana/sullivan/sullivan-union/1880/01-14/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=14&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albert Lea Freeborn County Standard,us/minnesota/albert-lea/albert-lea-freeborn-county-standard,1880-01-15,2,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-freeborn-county-standard/1880/01-15/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albion New Era,us/indiana/albion/albion-new-era,1880-01-15,,http://access.newspaperarchive.com/us/indiana/albion/albion-new-era/1880/01-15?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albert Lea Freeborn County Standard,us/minnesota/albert-lea/albert-lea-freeborn-county-standard,1880-01-15,16,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-freeborn-county-standard/1880/01-15/page-16?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albert Lea Freeborn County Standard,us/minnesota/albert-lea/albert-lea-freeborn-county-standard,1880-01-15,15,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-freeborn-county-standard/1880/01-15/page-15?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
